Depth (nm)	Load (µN)
359.84664	2274.463835
360.130155	2278.446395
360.335341	2282.460346
361.56961	2286.455919
362.418831	2290.464125
363.377236	2294.465457
363.69291	2298.46338
364.092524	2302.470811
364.599651	2306.481759
364.621789	2310.475083
364.982182	2314.484417
365.268834	2318.47321
365.574837	2322.499403
365.722522	2326.482739
365.983803	2330.490146
366.46295	2334.474362
367.279133	2338.511431
367.687699	2342.497388
368.610635	2346.502882
369.037871	2350.496139
369.402691	2354.507378
369.905645	2358.512294
369.876402	2362.498407
369.893498	2366.510346
370.043575	2370.531727
370.652741	2374.516664
371.608033	2378.528218
372.059976	2382.515333
372.094301	2386.540843
372.437594	2390.525881
372.839114	2394.524006
374.183926	2398.533018
374.923953	2402.543744
375.186568	2406.531718
375.336218	2410.559022
375.472999	2414.531819
375.704034	2418.561041
375.928708	2422.542327
376.086821	2426.550357
376.703751	2430.548935
377.332975	2434.56861
377.964521	2438.56057
378.236422	2442.560608
379.062049	2446.565169
379.153325	2450.571801
379.310362	2454.585427
379.800679	2458.555632
380.08269	2462.574042
380.144633	2466.578835
381.103004	2470.591505
381.265135	2474.569287
381.740671	2478.584529
381.917841	2482.591595
382.016649	2486.592407
382.093022	2490.58881
382.484814	2494.593699
382.688742	2498.593555
382.698368	2502.614363
382.834516	2506.597818
383.249672	2510.611121
384.413275	2514.604626
384.813945	2518.620902
385.168785	2522.602535
386.062803	2526.612841
387.013292	2530.603086
387.591421	2534.640821
387.71501	2538.611193
388.11986	2542.639477
389.018552	2546.617105
389.646422	2550.630011
389.890589	2554.633603
390.047973	2558.635786
390.109197	2562.631593
390.229997	2566.648556
390.423595	2570.646936
391.0992	2574.637907
391.259732	2578.650764
391.606078	2582.653746
391.753923	2586.656151
391.946043	2590.649845
392.260703	2594.656469
392.536943	2598.655278
393.240378	2602.667464
393.73872	2606.668197
394.01981	2610.664232
394.191477	2614.674895
394.216832	2618.663589
394.443164	2622.678355
394.713321	2626.67398
394.823139	2630.682286
